candle_begin_time,open,high,low,close,volume
2021-07-07 05:04:00,2.971,2.971,2.97,2.97,932.9840058
2021-07-07 05:05:00,2.9704,2.9882,2.9683,2.9683,3073.98373093
2021-07-07 05:06:00,2.9683,2.9969,2.9658,2.9684,1065.5060645800002
2021-07-07 05:07:00,3.0097,3.0097,3.0097,3.0097,1.0
2021-07-07 05:09:00,2.9838,2.9857,2.9838,2.9857,25.22867448
2021-07-07 05:10:00,3.0098,3.0098,3.0098,3.0098,1.369305
2021-07-07 05:11:00,3.0242,3.0242,3.0234,3.0234,18.02717929
2021-07-07 05:12:00,3.0228,3.0228,3.0001,3.0226,101.37393243000001
2021-07-07 05:13:00,3.0006,3.0193,3.0006,3.0193,56.475274999999996
2021-07-07 05:14:00,3.0,3.0,2.9826,2.9901,1098.1737734
2021-07-07 05:15:00,2.9999,3.0,2.9759,2.9759,951.3757095100001
2021-07-07 05:16:00,2.9759,2.9978,2.9759,2.9761,69.31795892000001
2021-07-07 05:17:00,2.9765,2.9961,2.9765,2.9768,112.121
2021-07-07 05:18:00,2.9801,2.9801,2.98,2.98,60.523196
2021-07-07 05:19:00,2.989,2.9891,2.98,2.98,516.00272237
2021-07-07 05:20:00,2.98,2.9887,2.97,2.98,1506.1608692600003
2021-07-07 05:21:00,2.98,2.98,2.9669,2.98,877.4447051900001
2021-07-07 05:22:00,2.98,2.98,2.968,2.978,660.6635163399999
2021-07-07 05:23:00,2.978,2.98,2.9701,2.98,1265.02967263
2021-07-07 05:24:00,2.98,2.98,2.98,2.98,361.083584
2021-07-07 05:25:00,2.98,2.98,2.98,2.98,606.609905
2021-07-07 05:26:00,3.0,3.0,3.0,3.0,38.236413999999996
2021-07-07 05:27:00,2.9862,3.0,2.9862,2.9996,344.44113606
2021-07-07 05:28:00,2.99,3.0,2.99,3.0,539.03003313
2021-07-07 05:29:00,3.0,3.0,3.0,3.0,815.82141372
2021-07-07 05:30:00,3.0147,3.0178,3.0,3.0010000000000003,712.308813
2021-07-07 05:31:00,3.0008,3.016,3.0001,3.016,1499.67391953
2021-07-07 05:32:00,3.0003,3.0015,3.0,3.0,1280.2472227800001
2021-07-07 05:33:00,3.0001,3.008,3.0,3.0078,1285.1474813600003
2021-07-07 05:34:00,3.0001,3.0093,3.0,3.008,1611.98562878
2021-07-07 05:35:00,3.0039999999999996,3.01,3.0,3.01,1696.99918212
2021-07-07 05:36:00,3.008,3.0174,3.0,3.002,2177.98040779
2021-07-07 05:37:00,3.0249,3.0278,3.0,3.0243,347.19270984
2021-07-07 05:38:00,3.0226,3.028,3.0104,3.0273,921.83765657
2021-07-07 05:39:00,3.0101,3.03,3.01,3.0271,6132.4785059000005
2021-07-07 05:40:00,3.0101,3.0267,3.0101,3.0267,251.21665090000002
2021-07-07 05:41:00,3.01,3.0556,3.0,3.0,21078.35312959001
2021-07-07 05:42:00,3.0,3.0,2.9978,2.9987,4381.12851202
2021-07-07 05:43:00,3.0,3.0,3.0,3.0,1178.282782
2021-07-07 05:44:00,3.0,3.0,2.9939999999999998,3.0,2154.21674041
2021-07-07 05:45:00,3.0001,3.02,3.0,3.0001,663.0
2021-07-07 05:46:00,3.0469,3.0469,3.0,3.02,1053.00872977
2021-07-07 05:47:00,3.02,3.0239,3.0101,3.0101,1447.4061240999997
2021-07-07 05:49:00,3.04,3.04,3.04,3.04,125.0
2021-07-07 05:50:00,3.0101,3.0201,3.0101,3.0201,545.69125578
2021-07-07 05:51:00,3.0001,3.0001,3.0,3.0,971.9799673099999
2021-07-07 05:52:00,3.0,3.0,3.0,3.0,203.02003269
2021-07-07 05:53:00,3.01,3.01,3.0,3.0,790.49332577
2021-07-07 05:54:00,3.0,3.0001,3.0,3.0,624.6493444700001
2021-07-07 05:55:00,3.0,3.0342,3.0,3.0341,2939.69156678
2021-07-07 05:56:00,3.0341,3.0342,3.0341,3.0341,1772.93360356
2021-07-07 05:57:00,3.0341,3.0341,3.0,3.0,4381.54645059
2021-07-07 05:58:00,3.0001,3.0269,2.99,2.99,382.73758803
2021-07-07 05:59:00,2.9951,2.9951,2.9951,2.9951,42.7
2021-07-07 06:01:00,2.9999,2.9999,2.9867,2.9867,845.47728839
2021-07-07 06:02:00,2.9862,3.0,2.9862,3.0,562.71047451
2021-07-07 06:04:00,2.9939,2.995,2.9939,2.995,185.725737
2021-07-07 06:05:00,2.9861,2.995,2.9512,2.9548,1697.8352429100003
2021-07-07 06:06:00,2.9562,2.9861,2.9562,2.9861,1693.5677960600005
2021-07-07 06:07:00,2.9861,2.9861,2.9861,2.9861,4.27371734
2021-07-07 06:08:00,2.9861,2.9861,2.9861,2.9861,273.13459284
2021-07-07 06:10:00,2.986,2.9861,2.986,2.9861,600.0
2021-07-07 06:11:00,2.9663,2.9663,2.9663,2.9663,100.0
2021-07-07 06:13:00,2.9619999999999997,2.9622,2.9619999999999997,2.9619999999999997,341.64574500000003
2021-07-07 06:15:00,2.9634,2.9634,2.96,2.96,796.187
2021-07-07 06:16:00,2.96,2.9611,2.96,2.9610000000000003,1087.96402768
2021-07-07 06:17:00,2.96,2.97,2.951,2.9511,1937.474872
2021-07-07 06:18:00,2.951,2.951,2.95,2.95,1396.06189337
2021-07-07 06:19:00,2.95,2.95,2.94,2.94,2013.6688866799996
2021-07-07 06:20:00,2.9499,2.95,2.94,2.9499,1315.24064103
